"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS0396","Bell","Los Angeles County","CA","Bell Police Department","Police","The U.S. Department of Justice awarded $52,500 to the Bell Police Department in 2018 as part of the Bureau of Justice Assistance's body-worn camera grant program.","Municipal","Body-worn Cameras","","https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html","","U.S Department of Justice","","2018","","","","","","http://www.cityofbell.org/Home/ShowDocument?id=12281","","www.cityofbell.org","","",""
"AOS0397","Fresno","Fresno County","CA","Fresno Police Department","Police","The Fresno Police Department purchased 400 body-worn cameras for $2.6 million as part of a five-year contract. The agency has used BWCs since 2015. ","Municipal","Body-worn Cameras","","https://www.yourcentralvalley.com/feature-police-body-cams/","","Your Central Valley","","02/07/2017","https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html","","U.S Department of Justice","","2017","","","","","",""
"AOS0398","Gustine","Merced County","CA","Gustine Police Department","Police","The U.S. Department of Justice awarded $54,000 to the Gustine Police Department in 2018 as part of the Bureau of Justice Assistance's body-worn camera grant program.","Municipal","Body-worn Cameras","","https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html","","U.S Department of Justice","","2018","http://www.westsideconnect.com/news/local_news/gpd-looking-to-finalize-body-cam-grant/article_eca6be66-3626-11e9-b9e3-1fc4969ee105.html","","www.westsideconnect.com","","","","","","","",""
"AOS0399","Santa Ana","Orange County","CA","Santa Ana Police Department","Police","The Santa Ana Police Department obtained body-worn cameras in 2017.","Municipal","Body-worn Cameras","Axon","https://www.ocregister.com/2017/05/03/santa-ana-police-to-be-equipped-with-body-cameras-after-council-approves-1-4-million-five-year-agreement/","","The Orange County Register","","05/03/2017","https://voiceofoc.org/2017/05/santa-ana-police-to-start-wearing-body-cameras-this-summer/","","Voice of Orange County","","05/08/2017","https://www.ocregister.com/2015/02/25/santa-ana-police-department-researching-body-cameras/","","Orange County Register","","02/25/2015",""
"AOS0400","Santa Rosa","Sonoma County","CA","Santa Rosa Police Department","Police","The Santa Rosa Police Department obtained VieVu body-worn cameras in 2015, but the department switch to Axon cameras in 2017.","Municipal","Body-worn Cameras","Axon","https://www.facebook.com/SantaRosaPoliceDepartment/posts/494695990652936?comment_tracking=%7B%22tn%22%3A%22O%22%7D","","Santa Rosa PD Facebook Page","","5/2/2014","https://www.pressdemocrat.com/news/7386686-181/santa-rosa-police-body-camera?sba=AAS","","Press Democrat","","11/5/2017","https://www.pressdemocrat.com/news/8947023-181/santa-rosa-police-officers-risk?sba=AAS","","Press Democrat","","11/12/2018",""
"AOS0401","Coalinga","Fresno County","CA","Coalinga Police Department","Police","The Coalinga Police Department began using body-worn cameras in 2017. ","Municipal","Body-worn Cameras","","https://www.yourcentralvalley.com/news/coalinga-police-activating-body-cameras-in-july/","","YourCentralValley.com","","04/24/2017","https://bja.ojp.gov/sites/g/files/xyckuh186/files/bwc/pdfs/BWCPIP-Factsheet-2016-Update-Final.pdf","","Bureau of Justice Assistance","","2016","","","","","",""
"AOS0402","Riverside","Riverside County","CA","Riverside County Sheriff's Department","Sheriff","The Riverside County Sheriff's Department received a $578,000 U.S. Department of Justice grant to outfit all officers with body-worn cameras in 2016. ","County","Body-worn Cameras","VieVu","https://www.pe.com/2016/10/01/all-riverside-county-deputies-to-have-body-worn-cameras-within-2-years-update-2/","","The Press-Enterprise","","10/01/2016","https://www.ocregister.com/2017/02/23/body-cameras-are-becoming-the-norm-in-southern-california/","","The Orange County Register","","02/23/2017","https://patch.com/california/temecula/all-temecula-area-sheriffs-patrol-deputies-be-outfitted-body-cameras","","California News Wire Services","","11/01/2016",""
"AOS0403","Visalia","Tulare County","CA","Tulare County Sheriff's Office","Sheriff","The U.S. Department of Justice awarded $97,432 to the Tulare County Sheriff's Office in 2016 as part of the Bureau of Justice Assistance's body-worn camera grant program.","County","Body-worn Cameras","","https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html","","U.S Department of Justice","","2016","https://abc30.com/society/tulare-county-correctional-deputies-will-soon-wear-body-cameras-thanks-to-federal-grant/1550776/","","abc30.com","","","https://www.facebook.com/vtdnews/posts/10154452695761233?comment_tracking=%7B%22tn%22%3A%22O%22%7D","","www.facebook.com","","",""
"AOS0404","Covina","Los Angeles County","CA","Covina Police Department","Police","The Covina Police Department was awarded $187,000 in U.S. Department of Justice funds in 2016 to implement body-worn cameras. As of 2020, the program was still in development. ","Municipal","Body-worn Cameras","","https://covinaca.gov/sites/default/files/fileattachments/police/page/1048/covina_pd_strategic_plan_2020_21_external_print_1.pdf","","City of Covina","","2020-2021","https://covinaca.gov/sites/default/files/fileattachments/police/page/1048/community_october_2019_monthly_report.pdf","","City of Covina","","2019","https://covinaca.gov/sites/default/files/fileattachments/finance/page/3131/fy_2017_cip_with_cover_page.pdf","","City of Covina","","2017",""
"AOS0405","Emeryville","Alameda County","CA","Emeryville Police Department","Police","The U.S. Department of Justice awarded $67,500 to the Emeryville Police Department in 2018 as part of the Bureau of Justice Assistance's body-worn camera grant program.","Municipal","Body-worn Cameras","","https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html","","U.S Department of Justice","","2018","https://emeryville.legistar.com/LegislationDetail.aspx?ID=3705923&GUID=4576F71A-E53F-44B3-A02F-C51B41BCE86A&Options=&Search=","","emeryville.legistar.com","","","https://ci.emeryville.ca.us/DocumentCenter/View/11443/RFP-Emeryville-PD-BWC-Solution---Vendor-Questions-04-25-19","","ci.emeryville.ca.us","","",""
"AOS0407","Los Altos","Santa Clara County","CA","Foothill De Anza Police Department","Police","The U.S. Department of Justice awarded $27,194 to the Foothill De Anza Police Department in 2016 as part of the Bureau of Justice Assistance's body-worn camera grant program.","University","Body-worn Cameras","","https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html","","U.S Department of Justice","","2016","https://www.mercurynews.com/2018/03/22/de-anza-college-police-start-wearing-body-cameras/","","www.mercurynews.com","","","https://lavozdeanza.com/news/2018/03/16/de-anza-college-campus-police-issued-body-worn-cameras/","","lavozdeanza.com","","",""
"AOS0408","Fort Bragg","Mendocino County","CA","Fort Bragg Police Deparment","Police","The Fort Bragg Police Department purchased 10 body-worn cameras in 2016 using federal grant money. ","Municipal","Body-worn Cameras","","https://city.fortbragg.com/DocumentCenter/View/6881/01-04-18-City-Notes-PDF?bidId=","","City of Fort Bragg","","01/04/2019","https://city.fortbragg.com/DocumentCenter/View/9338/3955-2016","","City of Fort Bragg","","01/29/2020","","","","","",""
"AOS0409","Hermosa Beach","Los Angeles County","CA","Hermosa Beach Police Department","Police","The Hermosa Beach Police Department received a $250,000 federal grant to supply officers with body-worn cameras in 2017. ","Municipal","Body-worn Cameras","","https://www.lavistamchs.com/?p=23998","","Mira Costa La Vista ","","05/02/2016","http://californiaconsulting.org/california-consulting-congratulates-hermosa-beach-police-department-awarded-41681-fy17-body-worn-camera-policy-implementatioin-program/","","California Consulting ","","09/21/2017","https://tbrnews.com/news/hermosa-beach-applying-for-grant-to-partially-fund-police-body/article_64ef5a3e-01ca-11e6-bbe7-ff0703ca2b38.html","","The Beach Reporter ","","04/13/2016",""
"AOS0410","Bakersfield","Kern County","CA","Bakersfield Police Department","Police","The Bakersfield Police Department received funding to outfit all police officers with Axon body-worn cameras by spring 2020. ","Municipal","Body-worn Cameras","Axon","https://www.bakersfield.com/news/bpd-to-deploy-body-cameras-to-all-officers-in-three/article_4da3e5ce-dbf7-11e9-b07e-4f7a8f9412ab.html","","Bakersfield","","09/20/2019","https://www.kget.com/news/local-news/bakersfield-city-council-approves-funding-for-officer-body-cameras-homeless-shelter-costs-new-fire-engines/","","KGET.com","","02/19/2020","","","","","",""
"AOS0411","Los Angeles","Los Angeles County","CA","Los Angeles County Sheriff's Department","Sheriff","The Los Angeles County Sheriff's Department budgeted $35 million to purchase body-worn cameras in 2019-2020.","County","Body-worn Cameras","","https://laist.com/2020/01/17/los-angeles-sheriffs-department-body-camera-policy.php","","LA List ","","01/17/2020","https://patch.com/california/southpasadena/la-sheriffs-plans-deputies-wear-body-cameras","","Patch ","","09/04/2019","https://signalscv.com/2019/09/county-supervisors-vote-for-lasd-deputies-to-wear-body-cameras/","","The Signal","","09/24/2019",""
"AOS0412","Nevada City","Nevada County","CA","​Bloomington Police Department","Sheriff","The U.S. Department of Justice awarded $123,000 to the Nevada County Sheriff's Office in 2018 as part of the Bureau of Justice Assistance's body-worn camera grant program.","County","Body-worn Cameras","","https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html","","U.S Department of Justice","","2018","https://yubanet.com/regional/ncso-grant-application-for-body-worn-cameras-approved/","","yubanet.com","","","https://www.mynevadacounty.com/CivicAlerts.aspx?AID=671","","www.mynevadacounty.com","","",""
"AOS0413","Petaluma","Sonoma County","CA","Petaluma Police Department","Police","The Petaluma Police Department obtained body-worn cameras in 2014. It purchased 70 new BWCs in 2019.","Municipal","Body-worn Cameras","Axon","https://www.petaluma360.com/news/9827231-181/petaluma-police-invest-in-evidence?sba=AAS","","The Petaluma Argus-Courier","","07/27/2019","https://www.facebook.com/PetalumaPoliceDepartment/photos","","Petaluma Police","","2020","","","","","",""
"AOS0414","Redondo Beach","Los Angeles County","CA","Redondo Beach Police Department","Police","The U.S. Department of Justice awarded $190,000 to the Redondo Beach Police Department in 2019 as part of the Bureau of Justice Assistance's body-worn camera grant program.","Municipal","Body-worn Cameras","","https://bja.ojp.gov/funding/awards/2019-bc-bx-0077","","U.S Department of Justice","","2019","","","","","","","","","","",""
"AOS0415","Redwood City","San Mateo County","CA","Redwood City Police Department","Police","The U.S. Department of Justice awarded $150,146 to the Redwood City Police Department in 2018 as part of the Bureau of Justice Assistance's body-worn camera grant program.","Municipal","Body-worn Cameras","","https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html","","U.S Department of Justice","","2018","https://www.ravenreport.org/3291/oped/body-worn-cameras-a-first-step-towards-improving-police-community-relations/","","www.ravenreport.org","","","https://www.smdailyjournal.com/news/local/cameras-urged-for-all-police-civil-grand-jury-all-departments/article_45591424-2fc1-5ad4-aca1-d245013633c0.html","","www.smdailyjournal.com","","",""
"AOS0416","Riverside","Riverside County","CA","Riverside Police Department","Police","The Riverside Police Department had 44 Coban body-worn cameras as of 2017. ","Municipal","Body-worn Cameras","Coban","https://riversideca.gov/transparency/results/PDF/2018/Quarterly%20Report_2018_2nd%20Fiscal.PDF","","Riverside ","","2018","","","","","","","","","","",""
"AOS0417","San Luis Obispo","San Luis Obispo County","CA","San Luis Obispo Police Department","Police","The San Luis Obispo Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","Axon","https://www.newtimesslo.com/sanluisobispo/slopd-to-pilot-body-camera-program/Content?oid=2938026","","New Times","","09/16/2015","https://www.sanluisobispo.com/news/local/crime/article234523477.html","","The Tribune","","09/29/2019","https://www.kcbx.org/post/police-body-camera-testing-san-luis-obispo-just-about-complete#stream/0","","KCBX FM Central Coast public radio ","","04/21/2016",""
"AOS0418","Simi Valley","Ventura County","CA","Simi Valley Police Department","Police","The U.S. Department of Justice awarded $187,500 to the Simi Valley Police Department in 2016 as part of the Bureau of Justice Assistance's body-worn camera grant program.","Municipal","Body-worn Cameras","","https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html","","U.S Department of Justice","","2016","https://www.vcstar.com/story/news/local/communities/simi-valley/2019/09/25/simi-valley-city-council-authorizes-money-police-body-cameras/2428868001/","","www.vcstar.com","","","https://www.simivalleyacorn.com/articles/body-cams-okd/","","www.simivalleyacorn.com","","",""
"AOS0419","Visalia","Tulare County","CA","Visalia Police Department","Police","The Visalia Police Department received a $153,000 matching grant from the U.S. Department of Justice in 2017 to purchase body-worn cameras. The initial program covered 119 uniformed officers. ","Municipal","Body-worn Cameras","Axon","https://www.visaliatimesdelta.com/story/news/2017/11/10/visalia-police-get-body-cameras/852624001/","","Visalia Times Delta","","11/10/17","https://abc30.com/visalia-police-officers-to-wear-body-cameras-/2689031/","","ABC 30","","","","","","","",""
"AOS0704","Los Angeles","Los Angeles County","CA","Los Angeles Police Department","Police","The U.S. Department of Justice awarded $1,710,000 to the Los Angeles Police Department from 2015-2019 as part of the Bureau of Justice Assistance's body-worn camera grant program.","Municipal","Body-worn Cameras","","https://bja.ojp.gov/funding/awards/2019-bc-bx-0024","","U.S Department of Justice","","2019","https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html","","U.S Department of Justice","","2015","https://www.latimes.com/local/lanow/la-me-ln-lapd-body-cameras-20150921-story.html","","www.latimes.com","","",""
"AOS0715","Calexico","Imperial County","CA","Calexico Police Department","Police","The Calexico Police Department adopted body-worn cameras in 2016. The department purchased 40 units for its officers.","Municipal","Body-worn Cameras","","http://kyma.dgt.me/calexico-police-start-using-body-cams/","","KYMA","","06/30/2016","","","","","","","","","","",""
"AOS0716","El Centro","Imperial County","CA","El Centro Police Department","Police","The El Centro Police Department has used body-worn cameras since 2013.","Municipal","Body-worn Cameras","VieVu","http://www.elcentrochamber.org/news/details/el-centro-police-outfitted-with-body-cameras","","El Centro Chamber of Conference","","08/14/2014","","","","","","","","","","",""
"AOS0717","El Centro","Imperial County","CA","Imperial County Sheriff's Office","Sheriff","The Imperial County Sheriff's Office purchased 100 body-worn cameras for $74,770. ","County","Body-worn Cameras","","https://www.kyma.com/news/sheriffs-office-uses-body-worn-cameras-to-fight-crime/279871731","","KYMA","","01/19/2017","","","","","","","","","","",""
"AOS0718","San Marcos","San Diego County","CA","California State University San Marcos Police Department","Police","California State University San Marcos Police Department issues Axon body-worn cameras to all uniformed officers.","University","Body-worn Cameras","Axon","https://www.csusm.edu/police/bodyworncameras/body.worn.camera.faq.pdf","","California State University Police Department","","","","","","","","","","","","",""
"AOS0719","Carlsbad","San Diego County","CA","Carlsbad Police Department","Police","The Carlsbad Police Department launched its body-worn camera program in 2016.","Municipal","Body-worn Cameras","","http://www.carlsbadca.gov/civicax/filebank/blobdload.aspx?BlobID=31239","","City of Carlsbad California Website","","08/01/2016","https://www.sandiegouniontribune.com/communities/north-county/sd-no-body-cameras-20161031-story.html","","","","","","","","","",""
"AOS0720","Coronado","San Diego County","CA","Coronado Police Department","Police","In 2012, the Coronado Police Department became the first law enforcement agency in San Diego County to adopt body-worn cameras. ","Municipal","Body-worn Cameras","","https://www.sandiegouniontribune.com/sdut-mini-cameras-cops-wear-new-crime-fighting-tool-2012jan01-story.html","","San Diego Union Tribune","","01/01/2012","","","","","","","","","","",""
"AOS0721","El Cajon","San Diego County","CA","El Cajon Police Department","Police","The El Cajon Police Department launched its body-worn camera program in 2016 with the purchase of 87 Axon cameras for about $160,000.  ","Municipal","Body-worn Cameras","Axon","https://www.sandiegouniontribune.com/news/public-safety/sd-me-body-cameras-20161215-story.html","","San Diego Union Tribune","","12/19/2016","","","","","","","","","","",""
"AOS0722","Escondido","San Diego County","CA","Escondido Police Department","Police","The Escondido Police Department has body-worn cameras since 2010.  In June 2019, the Escondido City Council approved a 3-year, $405,000 contract with Axon for 166 cameras.","Municipal","Body-worn Cameras","Axon","https://www.documentcloud.org/documents/6383645-escondido06-05-19CCAgendaPacket.html#document/p73","","Escondido City Council Minutes","","06/05/2019","https://www.documentcloud.org/documents/6383724-Escondido.html","","","","","https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html","","U.S Department of Justice","","2016",""
"AOS0723","La Mesa","San Diego County","CA","La Mesa Police Department","Police","The La Mesa Police Department began testing body-worn cameras in 2018. As of September 2019, images posted on Facebook show that officers are indeed wearing BWCs. ","Municipal","Body-worn Cameras","","https://www.facebook.com/lamesapolicedepartment/photos/a.139743763041488/976299639385892/?type=3&theater","","Facebook","","08/19/2019","https://www.baltimoresun.com/sd-se-lamesa-police-20180329-story.html","","","","","","","","","",""
"AOS0724","San Diego","San Diego County","CA","San Diego County Sheriff's Department","Sheriff","The San Diego Sheriff's Department  had 1,348 Axon body-worn cameras as of Dec 2018.","County","Body-worn Cameras","Axon","https://www.muckrock.com/foi/san-diego-county-55/california-public-records-request-body-worn-cameras-san-diego-county-sheriffs-department-66579/#file-766346","","Aaron Swartz Day Surveillance Project","","01/22/2019","https://www.sdsheriff.net/documents/pp/pp-20160321.pdf","","","","","https://www.sandiegouniontribune.com/news/public-safety/sd-me-deputy-cameras-20170718-story.html","","","","",""
"AOS0725","San Diego","San Diego County","CA","San Diego Police Department","Police","The San Diego Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","Axon","https://www.sandiego.gov/sites/default/files/149.pdf","","San Diego Police Department","","09/26/2017","","","","","","","","","","",""
"AOS0726","San Diego","San Diego County","CA","San Diego Police Department","Police","The San Diego Police Department installed ShotSpotter gunshot detection systems in Valencia Park, Skyline, O’Farrell and Lincoln Park in 2016. ","Municipal","Gunshot Detection","ShotSpotter","https://www.govtech.com/public-safety/Gunshot-Detection-System-Goes-Live-in-San-Diego.html","","San Diego Union Tribune","","11/23/2016","","","","","","","","","","",""
"AOS0727","San Diego","San Diego County","CA","San Diego State University Police Department","Police","The San Diego State University Police Department uses body-worn cameras. The agency uses the same policy as the rest of the California State University police departments.","University","Body-worn Cameras","","http://police.sdsu.edu/documents/Body_Worn_Camera%20Policy.pdf","","San Diego State University Police Department","","05/17/2017","","","","","","","","","","",""
"AOS0728","San Diego","San Diego County","CA","University of California San Diego Police Department","Police","The University of California San Diego Police Department installed ShotSpotter gunshot detection technology on campus in 2017. The initial installation cost $46,000, with a recurring annual fee of $71,000.","University","Gunshot Detection","ShotSpotter","https://www.nbcsandiego.com/news/local/New-Technology-at-UC-San-Diego-Promises-a-Quick-Emergency-Response--430455973.html","","NBC San Diego","","06/23/2017","","","","","","","","","","",""
"AOS0774","Visalia","Tulare County","CA","Tulare County Sheriff's Office","Sheriff","The Tulare County budgeted $119,700 for BriefCam software in 2019.","County","Video Analytics","BriefCam","https://www.buzzfeednews.com/article/carolinehaskins1/police-software-briefcam","","Buzzfeed","","06/12/2020","https://tularecounty.ca.gov/cao/index.cfm/budget/fiscal-year-2019-20/","","County Budget","","","","","","","",""
"AOS0778","Beverly Hills","Los Angeles County","CA","Beverly Hills Police Department","Police","The Beverly Hills Police Department has used BriefCam video analytics software since 2019. ","Municipal","Video Analytics","BriefCam","https://www.buzzfeednews.com/article/carolinehaskins1/police-software-briefcam","","Buzzfeed","","06/12/2020","https://dronkiller.com/wp-content/uploads/2020/03/BriefCam-2019-At-Work-in-Safe-Cities-2.pdf","","BriefCam Powerpoint","","09/25/2019","","","","","",""
"AOS0780","Inglewood","Los Angeles County","CA","Inglewood Police Department","Police","The Inglewood Police Department purchased BriefCam video analytics software in 2018.","Municipal","Video Analytics","BriefCam","https://www.buzzfeednews.com/article/carolinehaskins1/police-software-briefcam","","Buzzfeed","","06/12/2020","https://www.cityofinglewood.org/AgendaCenter/ViewFile/Item/5121?fileID=2804","","City of Inglewood","","08/21/2018","","","","","",""
"AOS0784","Oakland","Alameda County","CA","Alameda County Sheriff's Office","Sheriff","The Alameda County Sheriff's Office operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","County","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/alameda_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0785","Alameda","Alameda County","CA","Alameda Police Department","Police","The Alameda Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/alameda_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0786","Alhambra","Los Angeles County","CA","Alhambra Police Department","Police","The Alhambra Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/alhambra_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0787","Anaheim","Orange County","CA","Anaheim Police Department","Police","The Anaheim Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/anaheim_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0788","Antioch","Contra Costa County","CA","Antioch Police Department","Police","The Antioch Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/antioch_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0789","Arcadia","Los Angeles County","CA","Arcadia Police Department","Police","The Arcadia Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/arcadia_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0790","Arcata","Humboldt County","CA","Arcata Police Department","Police","The Arcata Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/arcata_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0791","Atherton","San Mateo County","CA","Atherton Police Department","Police","The Atherton Police Department purchased Flock Safety automated license plate readers in 2020. ","Municipal","Automated License Plate Readers","Flock Safety","https://www.muckrock.com/foi/atherton-3099/flock-atherton-police-department-102801/","","Atherton Police Department","","10/23/2020","https://www.almanacnews.com/news/2020/05/08/atherton-council-approves-installing-16-new-license-plate-readers","","Almanac News","","5/8/2020","https://www.auditor.ca.gov/reports/2019-118/surveys/atherton_police_department.html","","California State Auditor","","2/13/2020",""
"AOS0792","Azusa","Los Angeles County","CA","Azusa Police Department","Police","The Azusa Police Department began using Flock Safety ALPR cameras citywide in 2019. ","Municipal","Automated License Plate Readers","Flock Safety","https://www.muckrock.com/foi/azusa-3104/flock-azusa-police-department-102800/","","MuckRock","","10/15/2020","https://www.auditor.ca.gov/reports/2019-118/surveys/azusa_police_department.html","","California State Auditor","","2/13/2020","","","","","",""
"AOS0793","Beaumont","Riverside County","CA","Beaumont Police Department","Police","The Beaumont Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/beaumont_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0794","Bell","Los Angeles County","CA","Bell Police Department","Police","The Bell Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/bell_police_department.html","","California State Auditor","","2/13/2020","https://www.muckrock.com/foi/bell-3110/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-bell-police-department-89455/#comms","","Bell Police Department","","3/11/2020","","","","","",""
"AOS0795","Belvedere","Marin County","CA","Belvedere Police Department","Police","The Belvedere Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/belvedere_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0796","Benicia","Solano County","CA","Benicia Police Department","Police","The Benicia Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/benicia_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0797","Berkeley","Alameda County","CA","Berkeley Police Department","Police","The Berkeley Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Genetec AutoVu.","Municipal","Automated License Plate Readers","Genetec AutoVu","https://www.auditor.ca.gov/reports/2019-118/surveys/berkeley_police_department.html","","California State Auditor","","2/13/2020","https://www.cityofberkeley.info/uploadedFiles/Police/Level_3_-_General/001-2016%20ALPR.PDF","","","","02/18/16","","","","","",""
"AOS0798","Brawley","Imperial County","CA","Brawley Police Department","Police","The Brawley Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/brawley_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0799","Brea","Orange County","CA","Brea Police Department","Police","The Brea Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/brea_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0800","Brisbane","San Mateo County","CA","Brisbane Police Department","Police","The Brisbane Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/brisbane_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0801","Burbank","Los Angeles County","CA","Burbank Police Department","Police","The Burbank Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions and Neology/PIPS.","Municipal","Automated License Plate Readers","Vigilant Solutions, Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/burbank_police_department.html","","California State Auditor","","2/13/2020","https://www.muckrock.com/foi/burbank-3129/2020-vigilant-data-sharing-information-automated-license-plate-reader-burbank-police-department-90308/","","MuckRock","","","","","","","",""
"AOS0802","Burlingame","San Mateo County","CA","Burlingame Police Department","Police","The Westmorland Police Department accesses ALPR data.","Municipal","Automated License Plate Readers","","https://www.auditor.ca.gov/reports/2019-118/surveys/burlingame_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0803","Campbell","Santa Clara County","CA","Campbell Police Department","Police","The Campbell Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/campbell_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0804","Capitola","Santa Cruz County","CA","Capitola Police Department","Police","The Capitola Police Department accesses ALPR data. The agency contracts with Genetec AutoVu.","Municipal","Automated License Plate Readers","Genetec AutoVu","https://www.auditor.ca.gov/reports/2019-118/surveys/capitola_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
"AOS0805","Carmel-By-The-Sea","Monterey County","CA","Carmel Police Department","Police","The Carmel Police Department operates automated license plate readers. The agency contracts with Genetec AutoVu.","Municipal","Automated License Plate Readers","Genetec AutoVu","https://www.auditor.ca.gov/reports/2019-118/surveys/carmel_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","","",""
